City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Tessalit,ML,2021-03-28 19:47:37,20.1986,1.0114,76.44,8,0,11.74
279,Nhulunbuy,AU,2021-03-28 19:48:08,-12.2333,136.7667,80.6,89,40,13.8
280,Nago,JP,2021-03-28 19:48:08,26.5881,127.9761,71.6,94,90,1.54
281,Serenje,ZM,2021-03-28 19:48:09,-13.2325,30.2352,62.56,96,100,8.52
282,Novoagansk,RU,2021-03-28 19:48:09,61.9449,76.6625,-1.16,99,75,5.64
283,Tabory,RU,2021-03-28 19:48:09,58.5198,64.5495,27.84,95,91,7.4
284,Udachnyy,RU,2021-03-28 19:48:09,66.4167,112.4,11.39,96,100,4.92
285,Nouadhibou,MR,2021-03-28 19:48:10,20.931,-17.0347,68.0,73,0,20.71
286,Ambatofinandrahana,MG,2021-03-28 19:48:10,-20.55,46.8,59.25,93,0,1.72
287,Aripuana,BR,2021-03-28 19:43:26,-9.1667,-60.6333,81.14,88,96,1.07
288,Prince Rupert,CA,2021-03-28 19:45:11,54.3161,-130.3201,39.2,75,90,8.05
289,Cidreira,BR,2021-03-28 19:46:59,-30.1811,-50.2056,78.3,72,38,4.27
290,Brae,GB,2021-03-28 19:48:10,60.3964,-1.353,44.6,81,40,20.71
291,Charters Towers,AU,2021-03-28 19:48:11,-20.1,146.2667,68.94,84,32,4.74
292,Taltal,CL,2021-03-28 19:43:39,-25.4,-70.4833,67.37,68,23,4.92
293,Namatanai,PG,2021-03-28 19:48:11,-3.6667,152.4333,78.8,80,78,8.37
